row_id,service_year,county_code,county_name,payer,age_group_code,age_group_name,sex,unique_member_cnt,principal_diagnosis_code,diagnosis_description,diagnosis_version,clm_cnt,member_months,total_paid_amt_sum,total_paid_amt_mean,total_paid_amt_med,insurer_paid_amt_sum,insurer_paid_amt_mean,insurer_paid_amt_med,member_paid_amt_sum,member_paid_amt_mean,member_paid_amt_med
6286144,2019,001,Aitkin,MINNESOTA HEALTH CARE PROGRAMS,2,19 - 44 years,F,11,R73,Elevated blood glucose level,0,34,123,"$1,675.96",$152.36,$88.95,"$1,669.96",$151.81,$88.95,$6.00,$0.54,$0.00
6290440,2019,001,Aitkin,MEDICARE,4,65 - 74 years,F,19,R32,Unspecified urinary incontinence,0,83,228,"$6,068.93",$319.41,$145.91,"$5,508.03",$289.89,$105.58,$560.90,$29.52,$0.00
6292576,2019,001,Aitkin,MEDICARE,5,75 years and older,M,341,Z01,"Encntr for oth sp exam w/o complaint, suspected or reprtd dx",0,"1,284","4,053","$95,368.11",$279.67,$162.47,"$85,085.57",$249.51,$154.62,"$10,282.54",$30.15,$0.00
6294256,2019,003,Anoka,COMMERCIAL,1,18 years and under,M,88,Z20,Contact w and (suspected) exposure to communicable diseases,0,210,"1,039","$13,605.49",$154.60,$138.03,"$8,871.58",$100.81,$70.23,"$4,733.91",$53.79,$25.00
6295936,2019,003,Anoka,COMMERCIAL,2,19 - 44 years,M,49,M23,Internal derangement of knee,0,225,554,"$129,155.75","$2,635.83",$664.30,"$93,833.81","$1,914.97",$567.85,"$35,321.94",$720.85,$27.00
6296968,2019,003,Anoka,COMMERCIAL,3,45 - 64 years,F,17,M40,Kyphosis and lordosis,0,38,204,"$28,539.15","$1,678.77",$384.69,"$16,210.39",$953.55,$384.69,"$12,328.76",$725.22,$0.00
6298072,2019,003,Anoka,COMMERCIAL,3,45 - 64 years,M,39,N48,Other disorders of penis,0,162,434,"$119,036.75","$3,052.22",$330.54,"$103,250.59","$2,647.45",$187.48,"$15,786.16",$404.77,$80.00
6300112,2019,003,Anoka,COMMERCIAL,5,75 years and older,F,26,R68,Other general symptoms and signs,0,958,303,"$301,360.43","$11,590.78","$5,834.93","$301,360.43","$11,590.78","$5,834.93",$0.00,$0.00,$0.00
6301984,2019,003,Anoka,MINNESOTA HEALTH CARE PROGRAMS,1,18 years and under,M,154,G47,Sleep disorders,0,899,"1,799","$111,601.24",$724.68,$164.40,"$111,576.24",$724.52,$164.40,$25.00,$0.16,$0.00
6303136,2019,003,Anoka,MINNESOTA HEALTH CARE PROGRAMS,2,19 - 44 years,F,43,I51,Complications and ill-defined descriptions of heart disease,0,101,462,"$7,783.70",$181.01,$50.40,"$7,777.50",$180.87,$50.40,$6.20,$0.14,$0.00
6304240,2019,003,Anoka,MINNESOTA HEALTH CARE PROGRAMS,2,19 - 44 years,M,347,I10,Essential (primary) hypertension,0,"1,512","3,816","$59,078.03",$170.25,$94.20,"$57,927.53",$166.93,$91.20,"$1,150.50",$3.31,$0.00
6305152,2019,003,Anoka,MINNESOTA HEALTH CARE PROGRAMS,3,45 - 64 years,F,13,F30,Manic episode,0,877,135,"$58,814.06","$4,524.15",$154.51,"$58,810.86","$4,523.91",$154.51,$3.20,$0.24,$0.00
6305968,2019,003,Anoka,MINNESOTA HEALTH CARE PROGRAMS,3,45 - 64 years,F,235,Z74,Problems related to care provider dependency,0,"25,924","2,755","$2,095,063.11","$8,915.16",$276.65,"$2,094,723.91","$8,913.71",$276.65,$339.20,$1.44,$0.00
6307168,2019,003,Anoka,MINNESOTA HEALTH CARE PROGRAMS,4,65 - 74 years,F,12,I67,Other cerebrovascular diseases,0,"1,044",143,"$174,400.15","$14,533.34",$138.93,"$174,337.45","$14,528.12",$113.93,$62.70,$5.22,$0.00
6310960,2019,003,Anoka,MEDICARE,3,45 - 64 years,F,108,J98,Other respiratory disorders,0,334,"1,209","$22,514.61",$208.46,$31.51,"$20,079.98",$185.92,$22.65,"$2,434.63",$22.54,$2.19
6312616,2019,003,Anoka,MEDICARE,4,65 - 74 years,F,13,D46,Myelodysplastic syndromes,0,991,146,"$102,055.24","$7,850.40","$2,177.87","$91,620.39","$7,047.72","$1,792.10","$10,434.85",$802.68,$282.33
6313480,2019,003,Anoka,MEDICARE,4,65 - 74 years,F,"4,113",Z23,Encounter for immunization,0,"11,162","49,311","$400,490.13",$97.37,$66.81,"$379,022.26",$92.15,$65.82,"$21,467.87",$5.21,$0.00
