row_id,service_year,county_code,county_name,payer,age_group_code,age_group_name,sex,unique_member_cnt,util_category,util_cnt,encounter_count,member_months,total_paid_amt_sum,total_paid_amt_mean,total_paid_amt_med,insurer_paid_amt_sum,insurer_paid_amt_mean,insurer_paid_amt_med,member_paid_amt_sum,member_paid_amt_mean,member_paid_amt_med
133767,2017,001,Aitkin,MEDICARE,4,65 - 74 years,M,27,Inpatient Non-acute,341,85,315,"$286,626.34","$3,372.07",$200.05,"$270,732.60","$3,185.09",$200.05,"$15,893.74",$186.99,$0.00
134415,2017,005,Becker,MINNESOTA HEALTH CARE PROGRAMS,2,19 - 44 years,F,676,Emergency department,"4,250","1,477","7,283","$481,353.30",$325.90,$284.27,"$478,677.13",$324.09,$284.21,"$2,676.17",$1.81,$0.00
135039,2017,009,Benton,COMMERCIAL,1,18 years and under,F,"1,326",Clinic/Office,"15,924","6,589","15,152","$1,360,674.82",$206.51,$148.35,"$978,287.14",$148.47,$79.29,"$382,387.68",$58.03,$0.00
136047,2017,013,Blue Earth,MEDICARE,2,19 - 44 years,M,36,Hospital Inpatient,"1,022",78,432,"$994,212.99","$12,746.32","$9,161.87","$938,336.36","$12,029.95","$8,577.90","$55,876.63",$716.37,"$1,316.00"
136815,2017,017,Carlton,MEDICARE,2,19 - 44 years,M,15,Ambulance,71,29,180,"$14,762.88",$509.06,$516.30,"$11,464.51",$395.33,$428.93,"$3,298.37",$113.74,$97.47
137487,2017,021,Cass,MINNESOTA HEALTH CARE PROGRAMS,1,18 years and under,M,69,DME (Durable Medical Equipment),316,176,747,"$62,759.97",$356.59,$59.91,"$62,759.97",$356.59,$59.91,$0.00,$0.00,$0.00
138351,2017,025,Chisago,MINNESOTA HEALTH CARE PROGRAMS,5,75 years and older,F,40,Clinic/Office,326,185,475,"$10,658.03",$57.61,$21.44,"$10,511.06",$56.82,$21.44,$146.97,$0.79,$0.00
139047,2017,029,Clearwater,MINNESOTA HEALTH CARE PROGRAMS,3,45 - 64 years,F,37,Hospital Inpatient,750,60,408,"$405,155.44","$6,752.59","$3,564.00","$404,700.44","$6,745.01","$3,564.00",$455.00,$7.58,$0.00
140055,2017,035,Crow Wing,MINNESOTA HEALTH CARE PROGRAMS,2,19 - 44 years,M,141,Hospital Inpatient,"1,801",208,"1,489","$2,161,642.58","$10,392.51","$5,981.35","$2,160,408.48","$10,386.58","$5,981.35","$1,234.10",$5.93,$0.00
140631,2017,037,Dakota,MEDICARE,3,45 - 64 years,F,828,Hospital Inpatient Professional Services,"18,277","5,847","9,646","$1,875,405.36",$320.75,$161.11,"$1,590,409.31",$272.00,$136.76,"$284,996.05",$48.74,$20.61
